"","year","social_capital","absence_exclusion","absence_capture","vdeminformal","btiinformal","informal_channels","vdeminstitutional","btiinstitutional","institutional_channels","vdemcso","bticso","intermediary_channels","civil_capacity","quality_interface","resilience","v2cagenmob","percept_civicspace","natgov_confidence"
"13",1801,NA,NA,-0.801890417055526,NA,NA,NA,-0.845932967416045,NA,NA,-0.708798501743364,NA,NA,NA,NA,NA,NA,NA,NA
"14",1802,NA,NA,-0.804127237866241,NA,NA,NA,-0.845453847448438,NA,NA,-0.711467763850106,NA,NA,NA,NA,NA,NA,NA,NA
"15",1803,NA,NA,-0.792903049594324,NA,NA,NA,-0.848397012963736,NA,NA,-0.740657744246778,NA,NA,NA,NA,NA,NA,NA,NA
"16",1804,NA,NA,-0.809875380207165,NA,NA,NA,-0.845147329705187,NA,NA,-0.746219438585645,NA,NA,NA,NA,NA,NA,NA,NA
"17",1805,NA,NA,-0.798188107619495,NA,NA,NA,-0.838534878972132,NA,NA,-0.756051497067263,NA,NA,NA,NA,NA,NA,NA,NA
"18",1806,NA,NA,-0.79361207781611,NA,NA,NA,-0.83434481118089,NA,NA,-0.756269114133187,NA,NA,NA,NA,NA,NA,NA,NA
"19",1807,NA,NA,-0.785025231333733,NA,NA,NA,-0.846121193117604,NA,NA,-0.762073534983019,NA,NA,NA,NA,NA,NA,NA,NA
"20",1808,NA,NA,-0.760844405161371,NA,NA,NA,-0.84260764668849,NA,NA,-0.731615939958536,NA,NA,NA,NA,NA,NA,NA,NA
"21",1809,NA,NA,-0.738306785655876,NA,NA,NA,-0.805218300278665,NA,NA,-0.73028536988751,NA,NA,NA,NA,NA,NA,NA,NA
"22",1810,NA,NA,-0.69483183767647,NA,NA,NA,-0.802148773453229,NA,NA,-0.69872359716902,NA,NA,NA,NA,NA,NA,NA,NA
"23",1811,NA,NA,-0.649737778184148,NA,NA,NA,-0.80286692689918,NA,NA,-0.726998301856715,NA,NA,NA,NA,NA,NA,NA,NA
"24",1812,NA,NA,-0.644995448843641,NA,NA,NA,-0.796408693938998,NA,NA,-0.726998301856715,NA,NA,NA,NA,NA,NA,NA,NA
"25",1813,NA,NA,-0.647427186029879,NA,NA,NA,-0.820438120666852,NA,NA,-0.73616400718889,NA,NA,NA,NA,NA,NA,NA,NA
"26",1814,NA,NA,-0.680414516790384,NA,NA,NA,-0.812493697952745,NA,NA,-0.73714243499844,NA,NA,NA,NA,NA,NA,NA,NA
"27",1815,NA,NA,-0.678782233029927,NA,NA,NA,-0.787708483733571,NA,NA,-0.705667340834576,NA,NA,NA,NA,NA,NA,NA,NA
"28",1816,NA,NA,-0.678782233029927,NA,NA,NA,-0.797552890318372,NA,NA,-0.705667340834576,NA,NA,NA,NA,NA,NA,NA,NA
"29",1817,NA,NA,-0.670436891832817,NA,NA,NA,-0.796053156502719,NA,NA,-0.714231564234067,NA,NA,NA,NA,NA,NA,NA,NA
"30",1818,NA,NA,-0.651987512820462,NA,NA,NA,-0.757090436279856,NA,NA,-0.710633256767849,NA,NA,NA,NA,NA,NA,NA,NA
"31",1819,NA,NA,-0.640958107032388,NA,NA,NA,-0.738292153311182,NA,NA,-0.691393215785603,NA,NA,NA,NA,NA,NA,NA,NA
"32",1820,NA,NA,-0.609737801536688,NA,NA,NA,-0.737466388943049,NA,NA,-0.664388490548342,NA,NA,NA,NA,NA,NA,NA,NA
"33",1821,NA,NA,-0.569113452541186,NA,NA,NA,-0.752808301569372,NA,NA,-0.624406738161988,NA,NA,NA,NA,NA,NA,NA,NA
"34",1822,NA,NA,-0.559905235599567,NA,NA,NA,-0.78187169435949,NA,NA,-0.630221912384147,NA,NA,NA,NA,NA,NA,NA,NA
"35",1823,NA,NA,-0.562836721746895,NA,NA,NA,-0.733470799672705,NA,NA,-0.610362267328458,NA,NA,NA,NA,NA,NA,NA,NA
"36",1824,NA,NA,-0.562836721746895,NA,NA,NA,-0.752750173043891,NA,NA,-0.633483672269701,NA,NA,NA,NA,NA,NA,NA,NA
"37",1825,NA,NA,-0.568061541812866,NA,NA,NA,-0.736301953240927,NA,NA,-0.628144391073381,NA,NA,NA,NA,NA,NA,NA,NA
"38",1826,NA,NA,-0.576402937040236,NA,NA,NA,-0.657422383713422,NA,NA,-0.628144391073381,NA,NA,NA,NA,NA,NA,NA,NA
"39",1827,NA,NA,-0.587255445116557,NA,NA,NA,-0.659375861264744,NA,NA,-0.628144391073381,NA,NA,NA,NA,NA,NA,NA,NA
"40",1828,NA,NA,-0.589556872371196,NA,NA,NA,-0.670364172490933,NA,NA,-0.628144391073381,NA,NA,NA,NA,NA,NA,NA,NA
"41",1829,NA,NA,-0.589556872371196,NA,NA,NA,-0.678035641624773,NA,NA,-0.62434529014218,NA,NA,NA,NA,NA,NA,NA,NA
"42",1830,NA,NA,-0.566956173024728,NA,NA,NA,-0.665860652343398,NA,NA,-0.51962326640906,NA,NA,NA,NA,NA,NA,NA,NA
"43",1831,NA,NA,-0.566956173024728,NA,NA,NA,-0.616022159266999,NA,NA,-0.516107314304451,NA,NA,NA,NA,NA,NA,NA,NA
"44",1832,NA,NA,-0.561851725395848,NA,NA,NA,-0.595058748630213,NA,NA,-0.532284758670169,NA,NA,NA,NA,NA,NA,NA,NA
